car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao
AC-1200252-7C65C8026B4B40E795D86AE452D17133;4.2414;AC;Epitaciolândia;0.0424;IRU;AT;Aguardando análise
AC-1200252-342BE5888A5C4AE89FBB7C6FC0A0DF86;3.3147;AC;Epitaciolândia;0.0331;IRU;AT;Aguardando análise
AC-1200252-2358B55B0EFB4994B2F02B2E01CC158D;120.2230;AC;Epitaciolândia;1.2022;IRU;AT;Em análise
AC-1200252-0FC47C42AF81453DA186167396A1F0A1;48.5414;AC;Epitaciolândia;0.4854;IRU;AT;Aguardando análise
AC-1200252-4988E0755CD34C92A51803D645C2D754;54.3949;AC;Epitaciolândia;0.5439;IRU;AT;Em análise
AC-1200252-2A029D7EDE3D4A68A4E761799B3375CA;65.3707;AC;Epitaciolândia;0.6537;IRU;AT;Em análise
AC-1200252-5889F13BDD0144CFBF2C263ADC35B3E1;9.4285;AC;Epitaciolândia;0.0943;IRU;AT;Aguardando análise
AC-1200252-65C422751AF34A5C8BF11608878BA958;50.0447;AC;Epitaciolândia;0.5004;IRU;AT;Aguardando análise
AC-1200252-B0F31962395B4F91A89514E1964B8A09;11.1485;AC;Epitaciolândia;0.1115;IRU;AT;Aguardando análise
AC-1200252-7896F816C19A4BDDAC89DF8CE4B185B6;36.5396;AC;Epitaciolândia;0.3654;IRU;AT;Aguardando analise
AC-1200252-04757453BFA34653BB722981DD633A4F;8.8731;AC;Epitaciolândia;0.0887;IRU;AT;Em análise
AC-1200252-056E6C5522244B289BBBBCC132599363;169.3279;AC;Epitaciolândia;1.6933;IRU;AT;Aguardando analise
AC-1200252-182C7EF156CF440DA8F249E46DCA9687;5.5933;AC;Epitaciolândia;0.0559;IRU;PE;Analisado com pendências
AC-1200252-90D38DFAB7424DEAB43D2A0F22443B6C;60.8181;AC;Epitaciolândia;0.6082;IRU;PE;Analisado com pendências
AC-1200252-5BD2C5671D564BD7BA86749A03068E57;86.2389;AC;Epitaciolândia;0.8624;IRU;AT;Aguardando análise
AC-1200252-93FABEA0CEA24F3FA3FCDFFECBBE288E;85.4320;AC;Epitaciolândia;0.8543;IRU;AT;Em análise
AC-1200252-C1B632C56F2440D4B7BEB549B2041631;22.2019;AC;Epitaciolândia;0.2220;IRU;PE;Analisado com pendências
AC-1200252-ACFAAFC2557649EBAEED45CECA7050AB;28.9880;AC;Epitaciolândia;0.2899;IRU;AT;Em análise
AC-1200252-8CA6EFB25F414BA9A99ECFECB83133F2;39.9040;AC;Epitaciolândia;0.3990;IRU;AT;Aguardando análise
AC-1200252-98AA1E8D0C814F7F823EC5F0F138F004;35.1967;AC;Epitaciolândia;0.3520;IRU;AT;Em análise
AC-1200252-BF41A5B8E29F40C1B6314BFDA762B90D;64.8543;AC;Epitaciolândia;0.6485;IRU;AT;Em análise
AC-1200252-D7F90AE2664D4C01A18DE8BC6704AE04;61.0748;AC;Epitaciolândia;0.6107;IRU;AT;Aguardando analise
AC-1200252-5EC8C5336D7149C78410C23B23F9828E;27.5786;AC;Epitaciolândia;0.2758;IRU;AT;Aguardando analise
AC-1200252-54A37B5F34E34AC6B0B35010C0CF2BE2;50.7417;AC;Epitaciolândia;0.5074;IRU;AT;Em análise
AC-1200252-42266B0B4EC6448DA56EFBD1701E1E18;69.6194;AC;Epitaciolândia;0.6962;IRU;AT;Em análise
AC-1200252-61AA7450F69843A58C2F10C6FF5B007F;84.5997;AC;Epitaciolândia;0.8460;IRU;AT;Em análise
AC-1200252-51CD136CC333489B84997C0051455C1F;51.8883;AC;Epitaciolândia;0.5189;IRU;AT;Aguardando analise
AC-1200252-4F734858A34F41D4B4E34CB3FE1CC010;129.9522;AC;Epitaciolândia;0.0812;AST;AT;Aguardando analise
AC-1200252-4D5535E4C6B4453E900C865E5F494606;59.9805;AC;Epitaciolândia;0.5998;IRU;AT;Em análise
